Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Shai Gilgeous-Alexander,26.0,OKC,76.0,76.0,34.2,21.8,0.519,8.8,5.0,6.4,2.7,32.7,4.35,MVP-1DPOY-10CPOY-8ASNBA1,2,0,0,1,55.3591,1,0,0,0,0,1,0,0
Giannis Antetokounmpo,30.0,MIL,67.0,67.0,34.2,19.7,0.601,10.6,11.9,6.5,2.1,30.4,4.3,MVP-3DPOY-8ASNBA1,1,0,1,0,58.4566,0,1,0,0,1,0,0,0
Nikola Jokić,29.0,DEN,70.0,70.0,36.7,19.5,0.576,6.4,12.7,10.2,2.4,29.6,4.6,MVP-2CPOY-2ASNBA1,1,0,1,0,59.0331,0,1,0,0,0,0,0,0
Luka Dončić,25.0,2TM,50.0,50.0,35.4,20.5,0.45,7.9,8.2,7.7,2.2,28.2,,,0,1,0,0,51.8379,1,0,0,0,0,1,0,0
Anthony Edwards,23.0,MIN,79.0,79.0,36.3,20.4,0.447,6.3,5.7,4.5,1.8,27.6,3.6,MVP-7CPOY-3ASNBA2,1,0,1,0,50.6117,1,0,0,0,0,0,0,1
Jayson Tatum,26.0,BOS,72.0,72.0,36.4,20.3,0.452,6.1,8.7,6.0,1.6,26.8,6.7,MVP-4CPOY-10ASNBA1,1,0,1,0,62.7867,1,0,0,0,1,0,0,0
Kevin Durant,36.0,PHO,62.0,62.0,36.5,18.1,0.527,5.8,6.0,4.2,2.0,26.6,5.43,AS,0,1,0,0,54.7086,0,0,0,1,1,0,0,0
Tyrese Maxey,24.0,PHI,52.0,52.0,37.7,21.0,0.437,5.6,3.3,6.1,2.2,26.3,5.45,CPOY-10,0,1,0,0,42.1764,1,0,0,0,0,1,0,0
Cade Cunningham,23.0,DET,70.0,70.0,35.0,20.8,0.469,5.3,6.1,9.1,1.8,26.1,3.65,MVP-7ASNBA3,1,0,1,0,53.8172,1,0,0,0,0,1,0,0
Jalen Brunson,28.0,NYK,65.0,65.0,35.4,18.5,0.488,6.9,2.9,7.3,1.0,26.0,9.75,MVP-10CPOY-1ASNBA2,2,0,0,1,39.1373,0,1,0,0,0,1,0,0
Paolo Banchero,22.0,ORL,46.0,46.0,34.4,19.8,0.452,8.4,7.5,4.8,1.4,25.9,3.9,,0,1,0,0,40.251,1,0,0,0,1,0,0,0
Devin Booker,28.0,PHO,75.0,75.0,37.3,18.9,0.461,6.4,4.1,7.1,1.1,25.6,5.43,,0,1,0,0,60.8987,0,1,0,0,0,0,0,1
LaMelo Ball,23.0,CHO,47.0,47.0,32.0,21.3,0.405,4.9,4.9,7.4,1.4,25.2,3.8,,0,1,0,0,42.1764,1,0,0,0,0,1,0,0
Damian Lillard,34.0,MIL,58.0,58.0,36.1,17.1,0.448,6.8,4.7,7.1,1.4,24.9,4.3,AS,0,1,0,0,31.9111,0,0,1,0,0,1,0,0
Anthony Davis,31.0,2TM,51.0,51.0,33.5,17.8,0.516,7.2,11.6,3.5,3.4,24.7,,AS,0,1,0,0,58.4566,0,1,0,0,0,0,0,0
Kyrie Irving,32.0,DAL,50.0,50.0,36.1,18.9,0.473,4.3,4.8,4.6,1.8,24.7,5.1,CPOY-10AS,0,1,0,0,39.4913,0,0,1,0,0,0,0,1
Zion Williamson,24.0,NOP,30.0,30.0,28.6,16.9,0.567,8.0,7.2,5.3,2.1,24.6,3.55,,0,1,0,0,42.1665,1,0,0,0,1,0,0,0
Stephen Curry,36.0,GSW,70.0,70.0,32.2,18.0,0.448,4.3,4.4,6.0,1.5,24.5,11.0,MVP-9CPOY-5ASNBA2,1,0,1,0,61.097,0,0,0,1,0,1,0,0
LeBron James,40.0,LAL,70.0,70.0,34.9,18.1,0.513,4.7,7.8,8.2,1.6,24.4,10.0,MVP-6CPOY-7ASNBA2,1,0,1,0,52.6272,0,0,0,1,0,0,1,0
Karl-Anthony Towns,29.0,NYK,72.0,72.0,35.0,16.9,0.526,5.7,12.8,3.1,1.7,24.4,9.75,ASNBA3,1,0,1,0,57.0787,0,1,0,0,0,0,0,0
Victor Wembanyama,21.0,SAS,46.0,46.0,33.2,18.6,0.476,4.1,11.0,3.7,4.9,24.3,4.4,AS,0,1,0,0,15.1226,0,0,0,0,0,0,0,0
Franz Wagner,23.0,ORL,60.0,60.0,33.7,19.4,0.463,5.2,5.7,4.7,1.7,24.2,3.9,,0,1,0,0,44.8476,1,0,0,0,0,0,1,0
