"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Shai Gilgeous-Alexander","OKC",76,34.2,0.519,8.8,5,6.4,2.7,32.7,4.35,0,1,55.3591,1,0,0,0,0,1,0,0,"Age_1","2+ awards"
"Giannis Antetokounmpo","MIL",67,34.2,0.601,10.6,11.9,6.5,2.1,30.4,4.3,0,1,58.4566,0,1,0,0,1,0,0,0,"Age_2","2+ awards"
"Nikola Jokić","DEN",70,36.7,0.576,6.4,12.7,10.2,2.4,29.6,4.6,0,1,59.0331,0,1,0,0,0,0,0,0,"Age_2","2+ awards"
"Luka Dončić","2TM",50,35.4,0.45,7.9,8.2,7.7,2.2,28.2,NA,0,0,51.8379,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Anthony Edwards","MIN",79,36.3,0.447,6.3,5.7,4.5,1.8,27.6,3.6,0,1,50.6117,1,0,0,0,0,0,0,1,"Age_1","2+ awards"
"Jayson Tatum","BOS",72,36.4,0.452,6.1,8.7,6,1.6,26.8,6.7,0,1,62.7867,1,0,0,0,1,0,0,0,"Age_1","2+ awards"
"Kevin Durant","PHO",62,36.5,0.527,5.8,6,4.2,2,26.6,5.43,1,0,54.7086,0,0,0,1,1,0,0,0,"Age_4","1 award"
"Tyrese Maxey","PHI",52,37.7,0.437,5.6,3.3,6.1,2.2,26.3,5.45,0,0,42.1764,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Cade Cunningham","DET",70,35,0.469,5.3,6.1,9.1,1.8,26.1,3.65,0,1,53.8172,1,0,0,0,0,1,0,0,"Age_1","2+ awards"
"Jalen Brunson","NYK",65,35.4,0.488,6.9,2.9,7.3,1,26,9.75,0,1,39.1373,0,1,0,0,0,1,0,0,"Age_2","2+ awards"
"Paolo Banchero","ORL",46,34.4,0.452,8.4,7.5,4.8,1.4,25.9,3.9,0,0,40.251,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Devin Booker","PHO",75,37.3,0.461,6.4,4.1,7.1,1.1,25.6,5.43,0,0,60.8987,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"LaMelo Ball","CHO",47,32,0.405,4.9,4.9,7.4,1.4,25.2,3.8,0,0,42.1764,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Damian Lillard","MIL",58,36.1,0.448,6.8,4.7,7.1,1.4,24.9,4.3,1,0,31.9111,0,0,1,0,0,1,0,0,"Age_3","1 award"
"Anthony Davis","2TM",51,33.5,0.516,7.2,11.6,3.5,3.4,24.7,NA,1,0,58.4566,0,1,0,0,0,0,0,0,"Age_2","1 award"
"Kyrie Irving","DAL",50,36.1,0.473,4.3,4.8,4.6,1.8,24.7,5.1,1,0,39.4913,0,0,1,0,0,0,0,1,"Age_3","1 award"
"Zion Williamson","NOP",30,28.6,0.567,8,7.2,5.3,2.1,24.6,3.55,0,0,42.1665,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Stephen Curry","GSW",70,32.2,0.448,4.3,4.4,6,1.5,24.5,11,0,1,61.097,0,0,0,1,0,1,0,0,"Age_4","2+ awards"
"LeBron James","LAL",70,34.9,0.513,4.7,7.8,8.2,1.6,24.4,10,0,1,52.6272,0,0,0,1,0,0,1,0,"Age_4","2+ awards"
"Karl-Anthony Towns","NYK",72,35,0.526,5.7,12.8,3.1,1.7,24.4,9.75,0,1,57.0787,0,1,0,0,0,0,0,0,"Age_2","2+ awards"
"Victor Wembanyama","SAS",46,33.2,0.476,4.1,11,3.7,4.9,24.3,4.4,1,0,15.1226,0,0,0,0,0,0,0,0,NA,"1 award"
"Franz Wagner","ORL",60,33.7,0.463,5.2,5.7,4.7,1.7,24.2,3.9,0,0,44.8476,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Trae Young","ATL",76,36,0.411,7.4,3.1,11.6,1.4,24.2,5,1,0,47.4835,1,0,0,0,0,1,0,0,"Age_1","1 award"
"Donovan Mitchell","CLE",71,31.4,0.443,5.1,4.5,5,1.5,24,4.8,0,1,50.1056,0,1,0,0,0,0,0,1,"Age_2","2+ awards"
"Cam Thomas","BRK",25,31.2,0.438,6,3.3,3.8,0.7,24,5.6,0,0,5.9932,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Tyler Herro","MIA",77,35.4,0.472,4.2,5.2,5.5,1.1,23.9,5.7,1,0,32,1,0,0,0,0,0,0,1,"Age_1","1 award"
"Joel Embiid","PHI",19,30.2,0.444,8.9,8.2,4.5,1.6,23.8,5.45,0,0,60.8671,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"De'Aaron Fox","2TM",62,36.1,0.463,5.1,4.8,6.3,1.9,23.5,NA,0,0,52.0401,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Zach LaVine","2TM",74,35.2,0.511,3.9,4.3,4.2,1,23.3,NA,0,0,48.2335,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Ja Morant","MEM",50,30.4,0.454,6.4,4.1,7.3,1.4,23.2,3.5,0,0,42.1665,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"James Harden","LAC",79,35.3,0.41,7.3,5.8,8.7,2.2,22.8,7.5,0,1,40.75,0,0,0,1,0,1,0,0,"Age_4","2+ awards"
"Jaylen Brown","BOS",63,34.3,0.463,5.1,5.8,4.5,1.5,22.2,6.7,1,0,59.047,0,1,0,0,0,0,1,0,"Age_2","1 award"
"DeMar DeRozan","SAC",77,35.9,0.477,5.7,3.9,4.4,1.2,22.2,4.45,0,0,25.155,0,0,0,1,0,0,1,0,"Age_4","0 awards"
"Brandon Ingram","NOP",18,33.1,0.465,3.1,5.6,5.2,1.5,22.2,3.55,0,0,40,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jaren Jackson Jr.","MEM",74,29.8,0.488,5.4,5.6,2,2.7,22.2,3.5,0,1,48,1,0,0,0,0,0,0,0,"Age_1","2+ awards"
"Norman Powell","LAC",60,32.6,0.484,4.4,3.2,2.1,1.4,21.8,7.5,0,0,20.4828,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jalen Williams","OKC",69,32.4,0.484,4.3,5.3,5.1,2.3,21.6,4.35,0,1,38.5002,1,0,0,0,0,0,0,1,"Age_1","2+ awards"
"Kawhi Leonard","LAC",37,31.9,0.498,3.3,5.9,3.1,2.1,21.5,7.5,0,0,50.15,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Jamal Murray","DEN",67,36.1,0.474,3.7,3.9,6,1.9,21.4,4.6,0,0,51.9614,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Trey Murphy III","NOP",53,35,0.454,4.3,5.1,3.5,1.8,21.2,3.55,0,0,28,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"RJ Barrett","TOR",58,32.2,0.468,5.4,6.3,5.4,1.1,21.1,5.4,0,0,28.6607,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"CJ McCollum","NOP",56,32.7,0.444,3.1,3.8,4.1,1.2,21.1,3.55,0,0,30.6667,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Jalen Green","HOU",82,32.9,0.423,4.1,4.6,3.4,1.2,21,5.9,0,0,35.2786,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Brandon Miller","CHO",27,34.2,0.403,2.9,4.9,3.6,1.8,21,3.8,0,0,13.5367,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Darius Garland","CLE",75,30.7,0.472,3.4,2.9,6.7,1.3,20.6,4.8,1,0,42.1665,1,0,0,0,0,1,0,0,"Age_1","1 award"
"Jordan Poole","WAS",68,29.4,0.432,4,3,4.5,1.7,20.5,4.7,0,0,32.9464,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Coby White","CHI",74,33.1,0.453,4.1,3.7,4.5,1.1,20.4,6,0,0,12.8889,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Miles Bridges","CHO",64,31.7,0.431,4,7.5,3.9,1.4,20.3,3.8,0,0,23.913,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Austin Reaves","LAL",73,34.9,0.46,5,4.5,5.8,1.4,20.2,10,0,0,14.4182,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Pascal Siakam","IND",78,32.7,0.519,3.9,6.9,3.4,1.4,20.2,4.2,1,0,48.9246,0,1,0,0,1,0,0,0,"Age_2","1 award"
"Kristaps Porziņģis","BOS",42,28.8,0.483,4.7,6.8,2.1,2.2,19.5,6.7,0,0,30.7317,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Scottie Barnes","TOR",65,32.8,0.446,4.6,7.7,5.8,2.4,19.3,5.4,0,0,44.8476,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Anfernee Simons","POR",70,32.7,0.426,2.8,2.7,4.8,1,19.3,4.25,0,0,27.6786,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Desmond Bane","MEM",69,32,0.484,2.9,6.1,5.3,1.6,19.2,3.5,0,0,40.8063,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Domantas Sabonis","SAC",70,34.7,0.59,4.1,13.9,6,1.1,19.1,4.45,0,0,45.472,0,1,0,0,0,0,0,0,"Age_2","0 awards"
